	field	enumeration	enumeration_description
244	in.cooling_setpoint_offset_period	Night Setup -4h	Cooling setpoint schedule is increased at night, shifted -4 hours from the Night Setup schedule
245	in.cooling_setpoint_offset_period	Night Setup -5h	Cooling setpoint schedule is increased at night, shifted -5 hours from the Night Setup schedule
246	in.cooling_setpoint_offset_period	None	No cooling setpoint offset schedule applied
247	in.corridor	Double-Loaded Interior	Unit is adjacent to a shared corridor
248	in.corridor	Not Applicable	Corridor input is not applicable
249	in.county	AL, Autauga County	
250	in.county	AL, Baldwin County	
251	in.county	AL, Barbour County	
252	in.county	AL, Bibb County	
253	in.county	AL, Blount County	
254	in.county	AL, Bullock County	
255	in.county	AL, Butler County	
256	in.county	AL, Calhoun County	
257	in.county	AL, Chambers County	
258	in.county	AL, Cherokee County	
259	in.county	AL, Chilton County	
260	in.county	AL, Choctaw County	
261	in.county	AL, Clarke County	
262	in.county	AL, Clay County	
263	in.county	AL, Cleburne County	
264	in.county	AL, Coffee County	
265	in.county	AL, Colbert County	
266	in.county	AL, Conecuh County	
267	in.county	AL, Coosa County	
268	in.county	AL, Covington County	
269	in.county	AL, Crenshaw County	
270	in.county	AL, Cullman County	
271	in.county	AL, Dale County	
272	in.county	AL, Dallas County	
273	in.county	AL, DeKalb County	
274	in.county	AL, Elmore County	
275	in.county	AL, Escambia County	
276	in.county	AL, Etowah County	
277	in.county	AL, Fayette County	
278	in.county	AL, Franklin County	
279	in.county	AL, Geneva County	
280	in.county	AL, Greene County	
281	in.county	AL, Hale County	
282	in.county	AL, Henry County	
283	in.county	AL, Houston County	
284	in.county	AL, Jackson County	
285	in.county	AL, Jefferson County	
286	in.county	AL, Lamar County	
287	in.county	AL, Lauderdale County	
288	in.county	AL, Lawrence County	
289	in.county	AL, Lee County	
290	in.county	AL, Limestone County	
291	in.county	AL, Lowndes County	
292	in.county	AL, Macon County	
293	in.county	AL, Madison County	
294	in.county	AL, Marengo County	
295	in.county	AL, Marion County	
296	in.county	AL, Marshall County	
297	in.county	AL, Mobile County	
298	in.county	AL, Monroe County	
299	in.county	AL, Montgomery County	
300	in.county	AL, Morgan County	
301	in.county	AL, Perry County	
302	in.county	AL, Pickens County	
303	in.county	AL, Pike County	
304	in.county	AL, Randolph County	
305	in.county	AL, Russell County	
306	in.county	AL, Shelby County	
307	in.county	AL, St. Clair County	
308	in.county	AL, Sumter County	
309	in.county	AL, Talladega County	
310	in.county	AL, Tallapoosa County	
311	in.county	AL, Tuscaloosa County	
312	in.county	AL, Walker County	
313	in.county	AL, Washington County	
314	in.county	AL, Wilcox County	
315	in.county	AL, Winston County	
316	in.county	AR, Arkansas County	
317	in.county	AR, Ashley County	
318	in.county	AR, Baxter County	
319	in.county	AR, Benton County	
320	in.county	AR, Boone County	
321	in.county	AR, Bradley County	
322	in.county	AR, Calhoun County	
323	in.county	AR, Carroll County	
324	in.county	AR, Chicot County	
325	in.county	AR, Clark County	
326	in.county	AR, Clay County	
327	in.county	AR, Cleburne County	
328	in.county	AR, Cleveland County	
329	in.county	AR, Columbia County	
330	in.county	AR, Conway County	
331	in.county	AR, Craighead County	
332	in.county	AR, Crawford County	
333	in.county	AR, Crittenden County	
334	in.county	AR, Cross County	
335	in.county	AR, Dallas County	
336	in.county	AR, Desha County	
337	in.county	AR, Drew County	
338	in.county	AR, Faulkner County	
339	in.county	AR, Franklin County	
340	in.county	AR, Fulton County	
341	in.county	AR, Garland County	
342	in.county	AR, Grant County	
343	in.county	AR, Greene County	
344	in.county	AR, Hempstead County	
345	in.county	AR, Hot Spring County	
346	in.county	AR, Howard County	
347	in.county	AR, Independence County	
348	in.county	AR, Izard County	
349	in.county	AR, Jackson County	
350	in.county	AR, Jefferson County	
351	in.county	AR, Johnson County	
352	in.county	AR, Lafayette County	
353	in.county	AR, Lawrence County	
354	in.county	AR, Lee County	
355	in.county	AR, Lincoln County	
356	in.county	AR, Little River County	
357	in.county	AR, Logan County	
358	in.county	AR, Lonoke County	
359	in.county	AR, Madison County	
360	in.county	AR, Marion County	
361	in.county	AR, Miller County	
362	in.county	AR, Mississippi County	
363	in.county	AR, Monroe County	
364	in.county	AR, Montgomery County	
365	in.county	AR, Nevada County	
366	in.county	AR, Newton County	
367	in.county	AR, Ouachita County	
368	in.county	AR, Perry County	
369	in.county	AR, Phillips County	
370	in.county	AR, Pike County	
371	in.county	AR, Poinsett County	
372	in.county	AR, Polk County	
373	in.county	AR, Pope County	
374	in.county	AR, Prairie County	
375	in.county	AR, Pulaski County	
376	in.county	AR, Randolph County	
377	in.county	AR, Saline County	
378	in.county	AR, Scott County	
379	in.county	AR, Searcy County	
380	in.county	AR, Sebastian County	
381	in.county	AR, Sevier County	
382	in.county	AR, Sharp County	
383	in.county	AR, St. Francis County	
384	in.county	AR, Stone County	
385	in.county	AR, Union County	
386	in.county	AR, Van Buren County	
387	in.county	AR, Washington County	
388	in.county	AR, White County	
389	in.county	AR, Woodruff County	
390	in.county	AR, Yell County	
391	in.county	AZ, Apache County	
392	in.county	AZ, Cochise County	
393	in.county	AZ, Coconino County	
394	in.county	AZ, Gila County	
395	in.county	AZ, Graham County	
396	in.county	AZ, Greenlee County	
397	in.county	AZ, La Paz County	
398	in.county	AZ, Maricopa County	
399	in.county	AZ, Mohave County	
400	in.county	AZ, Navajo County	
401	in.county	AZ, Pima County	
402	in.county	AZ, Pinal County	
403	in.county	AZ, Santa Cruz County	
404	in.county	AZ, Yavapai County	
405	in.county	AZ, Yuma County	
406	in.county	CA, Alameda County	
